22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,In San Francisco the criminal psychologist Helen Hudson is specialized in serial-killers. During a trial the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder?
23,Assassins (1995),Action|Crime|Thriller,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24,Powder (1995),Drama|Sci-Fi,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
25,Leaving Las Vegas (1995),Drama|Romance,Because his wife left him and took his son with her screenwriter Ben Sanderson has started drinking a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera a prostitute with some problems as well who he moves in with.
26,Othello (1995),Drama,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.
27,Now and Then (1995),Children|Drama,Roberta Teeny Samantha and Chrissy have been busy growing up but they always remembered the promise they made to be there for each other. Now they're together again to relive the greatest summer of their lives.
28,Persuasion (1995),Drama|Romance,Royal Navy captain Wentworth was haughtily turned down eight years ago as suitor of pompous baronet Sir Walter Elliot's daughter Anne despite true love. Now he visits their former seaside country estate rented by his brother-in-law admiral Croft so the financially stressed baronet can afford a fashionable cheaper residence in trendy Bath. First the former lovers meet again on the estate where they feel vibes again but neither dares admit them until it seems too late. Yet the truth becomes clear both have moved but meet again in Bath.
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,In an alternate reality children are being kidnapped by strange cyclopses and taken to the laboratory of an evil scientist named Krank who steals their dreams because he has never had any of his own. Elsewhere an orphan girl named Miette is sent on robbery jobs by her keepers a set of female siamese twins known collectively as Octopus. Miette meets a man named One who is the strong man at the local funfair. Together they embark on a journey to find One's little brother who has been kidnapped by the cyclopses.
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Uncle Liu brings his cousin to Shanghai to work for 'Boss' the leader of a powerful drug empire in the 1930's. Shuisheng a simple country boy is awed and overwhelmed by the opulence and immense wealth he is suddenly surrounded by. He is to be the attendant of Xiao Jingbao the new mistress of 'Boss.' While he fumbles with the demands of his new role much intrigue is going on around him well beyond his bewildered perception. Xiao Jingbao is having a tumultuous affair Fat Yu is starting a gang war and 'Boss' is beginning to suspect that one of his trusted men is not loyal.
31,Dangerous Minds (1995),Drama,Louanne Johnson is an ex-marine hired as a teacher in a high-school in a poor area of the city. She has recently separated from her husband. Her friend also teacher in the school got the temporary job for her. After a terrible reception from the students she tries unconventional methods of teaching (using karate Bob Dylan lyrics etc) to gain the trust of the students.
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035 and is forced to live underground. A convict (James Cole) reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious "Army of the Twelve Monkeys") and locate the virus before it mutates so that scientists can study it. Unfortunately Cole is mistakenly sent to 1990 six years earlier than expected and is arrested and locked up in a mental institution where he meets Dr. Kathryn Railly a psychiatrist and Jeffrey Goines the insane son of a famous scientist and virus expert.
34,Babe (1995),Children|Drama,Gentle farmer Arthur Hoggett wins a piglet named Babe at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other farm animals including Fly's jealous husband Rex accept a pig who doesn't conform to the farm's social hierarchy?
35,Carrington (1995),Drama|Romance,The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge Strachey was able to welcome him as a friend although Partridge remained somewhat uneasy not so much with Strachey's sexual orientation as with the fact that he was a conscientious objector.
36,Dead Man Walking (1995),Crime|Drama,A nun while comforting a convicted killer on death row empathizes with both the killer and his victim's families.
37,Across the Sea of Time (1995),Documentary|IMAX,A young Russian boy Thomas Minton travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors who had emigrated decades ago but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way the audience gets to see the Big Apple in former times as well as today.
38,It Takes Two (1995),Children|Comedy,Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical but complete strangers that accidentally meet one day. In an attempt to stop Alyssa's father from ...
39,Clueless (1995),Comedy|Romance,Cher a high school student in Beverly Hills must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial but rather it hides her wit charm and intelligence which help her to deal with relationships friends family school and the all-important teenage social life.
40,"Cry, the Beloved Country (1995)",Drama,Based on actual events. Brandon Teena is the popular new guy in a tiny Nebraska town. He hangs out with the guys drinking cussing and bumper surfing and he charms the young women who've never met a more sensitive and considerate young man. Life is good for Brandon now that he's one of the guys and dating hometown beauty Lana; however he's forgotten to mention one important detail. It's not that he's wanted in another town for GTA and other assorted crimes but that Brandon Teena was actually born a woman named Teena Brandon. When his best friends make this discovery Brandon's life is ripped apart.
41,Richard III (1995),Drama|War,William Shakespeare's classic play is brought into the present with the setting as Great Britian in the 1930s. Civil war has erupted with the House of Lancaster on one side claiming the right to the British throne and hoping to bring freedom to the country. Opposing is the House of York commanded by the infamous Richard who rules over a fascist government and hopes to install himself as a dictator monarch.
42,Dead Presidents (1995),Action|Crime|Drama,A Vietnam vet adjusts to life after the war while trying to support his family but the chance of a better life may involve crime and bloodshed.
43,Restoration (1995),Drama,An aspiring young physician Robert Merivel found himself in the service of King Charles II and saves the life of a spaniel dear to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry one of the King's mistresses in order to divert the suspicions of another one of his mistresses. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend he rediscovers his love for true medicine and what it really means to be a physician.
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Based on the popular video game of the same name "Mortal Kombat" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal - ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory...
45,To Die For (1995),Comedy|Drama|Thriller,Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight including enlisting three teenagers to kill her husband.
46,How to Make an American Quilt (1995),Drama|Romance,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Haunted by a secret Ben Thomas looks for redemption by radically transforming the lives of seven people he doesn't know. Once his plan is set nothing will be able to stop him. At least that's what he thinks. But Ben hadn't planned on falling in love with one of these people and she's the one who will end up transforming him.
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
49,When Night Is Falling (1995),Drama|Romance,Camille and Martin are in love and teachers at a christian college; they get the opportunity to get a better job but they would have to marry for that. But when Camille's dog dies she recognizes that her love for Martin is not even as big as the love for her dog. After that Camille gets to know Petra and Petra falls in love with Camille. They meet again but Camille is very unsure about her feelings. When Martin is away for a weekend Camille and Petra meet in the Circus where Petra is working as an acrobat. They spend the night together but Martin finds out about it and is shocked. He has an argument with Camille and she goes burying her dog in the snow and falls asleep...
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Following a truck hijack in New York five conmen are arrested and brought together for questioning. As none of them are guilty they plan a revenge operation against the police. The operation goes well but then the influence of a legendary mastermind criminal called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion but the real question arises now: Who actually is Keyser Söze?
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother Lenny is disappointed. Linda is a prostitute and porn star. On top of that she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus.
53,Lamerica (1994),Adventure|Drama,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...
54,"Big Green, The (1995)",Children|Comedy,Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions while building self-esteem making friends and solving a variety of dramatic family crises through the able assistance of a foreign exchange teacher and a former local sports hero as coaches.
55,Georgia (1995),Drama,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister but is always doing everything wrong. Her ...
57,Home for the Holidays (1995),Drama,After losing her job making out with her soon to be ex-boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,N/A
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,A secretive terrorist commits crimes to disrupt the peace process between the Irish and the Brits. Both sides want him dead. When he decides to assassinate the pope and blame it on the UK only a musician with a secret past can stop him.
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best friend. But these two presents turn out to be much more magic than the rest...
61,Eye for an Eye (1996),Drama|Thriller,Karen McCann's eldest daughter is raped and murdered whilst on the phone with her. When the case against Robert Doob the perpetrator is dismissed because of a technicality she starts following him and sees how he checks out his next victim a woman he delivers groceries to. She tells the police but is only warned she must stop following Doob. When she tries to warn the woman she is shooed out of the house. Doob having found out that Karen is following him threatens to do something to her youngest daughter. She then seeks help from a group of vigilantes connected to a support group in order to shoot Doob. However a friend from the support group turns out to be an FBI agent investigating the very vigilante activity Karen is involved in and warns her that she will go to jail for the rest of her life unless it is self-defense. In the meantime tension grows between Karen and her husband Mack because he finds out she has secretly been taking self-defense classes and has been learning how to use a gun. When Doob makes another victim and is again released for lack of evidence she finds a way to lure him into her house and kill him in self-defense.
62,Mr. Holland's Opus (1995),Drama,A frustrated composer finds fulfillment as a high school music teacher.
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"Don't Be a Menace to South Central While Drinking your Juice in the Hood" is a parody of several U.S. films about being in the 'Hood' for instance "Boyz n the Hood" "South Central" "...
64,Two if by Sea (1996),Comedy|Romance,Frank O'Brien a petty thief and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job which involves stealing a valuable painting. ...
65,Bio-Dome (1996),Comedy,Moronic best friends get themselves locked inside the Bio-Dome a science experiment along with a group of environmental scientists for one year.
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Laurent is the local estate agent a job that offers easy opportunties for his womanising. His wife beautiful wife Loli looks after his home and two children unaware of his many affairs. However their world is turned upside down by the arrival of Marijo an itinerant lesbian whose minivan breaks down nearby. The neglected Loli is drawn to the sensitive Marijo and when she learns of Laurent's infidelities invites Marijo to move in with them. The arrangement takes an emotional toll on each of them exacerbated by the arrival of a figure from Marijo's past. As they struggle with the situation and each other all of their lives are changed forever.
69,Friday (1995),Comedy,Two homies Smokey and Craig smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night. In that time they smoke more weed and get jacked and shot at in a drive-by.
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires with chaotic results.
71,Fair Game (1995),Action,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.
72,Kicking and Screaming (1995),Comedy|Drama,After college graduation Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her deciding instead to move in with several friends all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life yet none of them wants to end up like Chet the professional student who tends bar and is in his tenth year of university studies.
73,"Misérables, Les (1995)",Drama|War,Jean Valjean known as Prisoner 24601 is released from prison and breaks parole to create a new life for himself while evading the grip of the persistent Inspector Javert. Set in post-revolutionary France the story reaches resolution against the background of the June Rebellion.
74,Bed of Roses (1996),Drama|Romance,N/A
76,Screamers (1995),Action|Sci-Fi|Thriller,(SIRIUS 6B Year 2078) On a distant mining planet ravaged by a decade of war scientists have created the perfect weapon: a blade-wielding self-replicating race of killing devices known as...
77,Nico Icon (1995),Documentary,A look into the many lives of Christa Päffgen otherwise known as Nico; from cutie German mädchen to the first of the supermodels to glamorous diva of the Velvet Underground to cult item junkie and hag. Many faces for the same woman whom you realize just couldn't bring herself to care enough to live.
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.
79,"Juror, The (1996)",Drama|Thriller,When Annie Laird is selected as a juror in a big Mafia trial she is forced by someone known as "The Teacher" to persuade the other jurors to vote "not guilty". He threatens to kill her son if she doesn't commit. When the trial is over he can't let her go...
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Razieh wants a fat goldfish for the Iranian New Years celebration instead of the skinny ones in her family's pond at home because the fat fish looks like it's dancing when it swims. After many attempts she and her brother convince their mother to give them her last bit of money. Between their home and the fish store Razieh loses the money.. She finds it but it is temptingly just out of her reach.
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Jimmy the Saint's business is videotaping the terminally-ill so that they will be around to give 'Afterlife Advice' to their survivors. He hasn't been doing too well lately and has had to turn to loan-sharks to accomodate his failing business as well as his expensive personal tastes. When an evil gangster-overlord buys up his note and demands a favor of Jimmy in exchange for the interest that he can't afford Jimmy capitulates. Jimmy is to scare someone for the gangster-overlord--really rough them up. Without giving too much away (spoiler) the scene goes down badly and Jimmy and his crew all end up with contracts on their heads for their trouble.
82,Antonia's Line (Antonia) (1995),Comedy|Drama,A Dutch matron establishes and for several generations oversees a close-knit matriarchal community where feminism and liberalism thrive.
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
84,Last Summer in the Hamptons (1995),Comedy|Drama,Filmed entirely on location in East Hampton Long Island "Last Summer in the Hamptons" concerns a large theatrical family spending the last weekend of their summer together at the decades-old family retreat which economic circumstances have forced them to put on the market. Victoria Foyt plays a young Hollywood actress whose visit wreaks havoc on the stellar group of family and friends - led by matriarch Viveca Lindfors and made up of an extraordinary mix of prominent New York actors directors and playwrights. In the course of a very unusual weekend comic as well as serious situations arise and the family's secrets - of which there are many - begin to unravel.
85,Angels and Insects (1995),Drama|Romance,The movie is a study of a family of country gentry in Victorian England. William Adamson a young scientist is introduced into the Alabaster family by Reverend Mr Alabaster who is also fascinated by insects. William marries the older daughter of the family and studies the amounts of insects in the garden of the villa. His - for the gentry - strange behaviors reveal at the same time their own failures and passions.
86,White Squall (1996),Action|Adventure|Drama,A true story about a group of American teenage boys who crew a school sailing ship to gain experience discipline or whatever their parents feel they lack. The voyage is a true adventure for them all but it has its downs as well as ups.
87,Dunston Checks In (1996),Children|Comedy,Robert's a beleaguered concierge of the luxury hotel owned by Mrs. Dubrow. She tells Robert an undercover reviewer is coming and to look sharp. If he does well he might get a promotion and some time off to take his sons Brian and Kyle on vacation. But then the villainous jewel-thief Rutledge checks in with his specially trained orangutan Dunston. And when Dunston gets loose and tries to escape a life of crime with the help of Brian and Kyle things go just a little lunatic.
88,Black Sheep (1996),Comedy,Growing up on the family sheep farm was idyllic for smart sensitive Harry Olfield except for some knavish mischief from cocky brother Angus until their dad has a fatal accident. Fifteen years later Harry has finished sheep-phobia therapy and his ICT schooling and returns. Angus buys him out all ready to present the genetically engineered Oldfield sheep he bred with a ruthless team. When environmentalist Grant steals a discarded embryo which has sharp teeth he gets bitten by it and thus the first to be infected with predatory hunger and a mechanism that turns any mammal into a werewolf version. Running for the farm men Grant's mate student Experience gets teamed up with Harry and his boorish but gentle pastoral youth friend Tucker. They must survive both the bloodthirsty sheep and their creators who didn't realize this yet but dispose of an antidote.
89,Nick of Time (1995),Action|Thriller,Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks he is approached by a pair of sinister people named Smith and Jones. Pretending to be cops Smith and Jones kidnap Lynn and confront Gene with a simple choice -- kill California governor Eleanor Grant in 90 minutes or less or Lynn will die. Watson is given a gun six bullets and a name tag and he is told to go to the Westin Bonaventure Hotel and kill Eleanor who is giving an afternoon speech. While Jones is watching Lynn in a van Smith watches Watson in order to prevent Watson from alerting the authorities. Watson must quickly find some way to get himself and Lynn out of this seemingly impossible situation.
92,Mary Reilly (1996),Drama|Horror|Thriller,A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart Mr. Hyde.
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Maximillian is the only survivor from a race of vampires on a Caribbean Island and as a vampire he must find a mate to keep the line from ending. He knows that a child had been born to a woman who had a vampire father and he searches for her in Brooklyn. Rita's mother who has died in an asylum was that woman and Rita has nightmares that she does not understand. Not knowing that she is part vampire Max woos her and attempts to bring her to her blood sucking destiny. Even though Rita has strange dreams and actions Justice her partner has feelings for her and does not want her involved with this stranger Max. But it is Rita who must decide her destiny.
94,Beautiful Girls (1996),Comedy|Drama|Romance,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95,Broken Arrow (1996),Action|Adventure|Thriller,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96,In the Bleak Midwinter (1995),Comedy|Drama,A 15 minutes minimalist summa of theatre art: threshold space voice body craziness and crisis. In the bleak midwinter a young group of non-professional actors explores the component elements of theatre and life.
97,"Hate (Haine, La) (1995)",Crime|Drama,A pretty popular teenager can't go out on a date until her ill-tempered older sister does.
98,Shopping (1994),Action|Thriller,You've run out of options no school no job. Steal a car smash a shop with a heavy car and reap the proceeds!. This movie is about underground England. The causes the benefits and the result of a life of 'crash and carry'.
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,The story of Heidi Fleiss known as "The Hollywood Madam" who was the daughter of a prominent Los Angeles doctor and eventually became a prostitute for a well-known Los Angeles madam. She ...
100,City Hall (1996),Drama|Thriller,A young boy dies from a stray bullet during a shootout between a cop and mob family member who had previously been supiciously given probabtion only to break its terms. New York's Deputy Mayor Kevin Calhoun starts digging for information.
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Upon his release from a mental hospital following a nervous breakdown the directionless Anthony joins his friend Dignan who seems far less sane than the former. Dignan has hatched a hare-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss the (supposedly) legendary Mr. Henry. With the help of their pathetic neighbor and pal Bob Anthony and Dignan pull a job and hit the road where Anthony finds love with motel maid Inez. When our boys finally hook up with Mr. Henry the ensuing escapade turns out to be far from what anyone expected.
102,Mr. Wrong (1996),Comedy,A single and lonely woman finds the seemingly perfect man to date but soon regrets it when his deranged and possessive other personality emerges and worst still she cannot convince anyone else of his Jekyll/Hyde true nature.
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Carrie Wells a former police detective has a rare ability to remember virtually everything she experiences including detailed visual recall. She returns to police work and uses her ability to solve crimes.
104,Happy Gilmore (1996),Comedy,A rejected hockey player puts his skills to the golf course to save his grandmother's house.
105,"Bridges of Madison County, The (1995)",Drama|Romance,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,The Muppets are back into action in another movie based on a novel written by Robert Louis Stevenson. Kermit the Frog and his colleagues go on a warfare against ruthless pirates. They also share their problem-solving journey on sea to rescue a treasure.
108,Catwalk (1996),Documentary,A camera follows model Christy Turlington through the spring fashion shows in Milan Paris and New York one year in the early 1990s probably 1992. She and others dash from one designer's unveilings to another. Extended footage looks at Versace and Armani in Milan Galliano Gaultier and Langerfeld in Paris and Isaac Mizrahi in New York. With Kate Moss Naomi Campbell and Turlington we see the nature of friendships among models. With the engaging Mizrahi in particular there's some exploration of the relationship between designer and models.
110,Braveheart (1995),Action|Drama|War,When his secret bride is executed for assaulting an English soldier who tried to rape her William Wallace begins a revolt against King Edward I of England.
111,Taxi Driver (1976),Crime|Drama|Thriller,Travis Bickle is an ex-Marine and Vietnam War veteran living in New York City. As he suffers from insomnia he spends his time working as a taxi driver at night watching porn movies at seedy cinemas during the day or thinking about how the world New York in particular has deteriorated into a cesspool. He's a loner who has strong opinions about what is right and wrong with mankind. For him the one bright spot in New York humanity is Betsy a worker on the presidential nomination campaign of Senator Charles Palantine. He becomes obsessed with her. After an incident with her he believes he has to do whatever he needs to make the world a better place in his opinion. One of his priorities is to be the savior for Iris a twelve-year-old runaway and prostitute who he believes wants out of the profession and under the thumb of her pimp and lover Matthew.
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
